#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
6982591|2016-07-30T01:19:31.450000|43.4647|14.462|33.9|SURVEY-INGV||||ML|2.3|--|Adriatico Centrale (MARE)
6982721|2016-07-30T04:49:25.610000|38.3627|15.3947|119.2|SURVEY-INGV||||ML|2.2|--|Costa Siciliana nord-orientale (Messina)
6984871|2016-07-30T20:01:11.380000|40.8257|16.4188|8.3|SURVEY-INGV||||ML|2.5|--|Bari
6984921|2016-07-30T20:21:38.230000|44.9313|7.2122|15.4|BULLETIN-INGV||||Mw|3.7|--|Torino
6984971|2016-07-30T20:25:08.100000|44.9273|7.1938|13.5|BULLETIN-INGV||||ML|2.1|--|Torino
6985041|2016-07-30T20:40:04.840000|47.2165|11.7618|5.0|SURVEY-INGV||||ML|2.5|--|Confine Italia-Austria (AUSTRIA)
6986891|2016-07-31T00:14:41.320000|40.8598|16.4217|5.0|SURVEY-INGV||||ML|2.7|--|Bari
6987041|2016-07-31T01:07:54.040000|43.792|12.5798|39.6|SURVEY-INGV||||ML|2.5|--|Pesaro e Urbino
6989171|2016-07-31T16:18:11.220000|42.3165|15.8578|26.4|SURVEY-INGV||||ML|2.1|--|Adriatico Centrale (MARE)
6989411|2016-07-31T17:25:07.060000|40.0338|15.6692|9.9|SURVEY-INGV||||ML|2.7|--|Golfo di Policastro (Salerno, Potenza)
6990121|2016-08-01T00:16:42.530000|38.2728|15.1882|112.8|SURVEY-INGV||||ML|2.2|--|Costa Siciliana nord-orientale (Messina)
6990451|2016-08-01T03:34:17.120000|40.6208|15.3767|30.6|SURVEY-INGV||||ML|2.4|--|Salerno
6992381|2016-08-01T14:02:09.370000|40.6678|15.7443|17.6|SURVEY-INGV||||ML|2.1|--|Potenza
6992431|2016-08-01T14:03:33.000000|41.6542|16.7838|7.4|SURVEY-INGV||||ML|2.6|--|Adriatico Meridionale (MARE)
6993971|2016-08-01T21:39:37.650000|44.0477|11.5072|6.8|SURVEY-INGV||||ML|2.0|--|Firenze
6994351|2016-08-02T03:14:37.590000|40.0453|15.6673|9.1|SURVEY-INGV||||ML|2.1|--|Salerno
6995621|2016-08-02T12:33:11.010000|42.3313|15.9428|32.4|SURVEY-INGV||||ML|2.4|--|Adriatico Centrale (MARE)
6999871|2016-08-03T18:56:23.040000|38.0997|15.0188|8.4|SURVEY-INGV||||ML|2.2|--|Messina
7001571|2016-08-04T10:14:17.530000|38.7897|14.6518|321.5|BULLETIN-INGV||||ML|3.6|--|Tirreno Meridionale (MARE)
7003781|2016-08-04T18:51:07.410000|43.8545|12.0458|8.3|BULLETIN-INGV||||ML|2.3|--|Forli'-Cesena
7007481|2016-08-05T11:28:17.860000|38.3035|15.1967|113.9|SURVEY-INGV||||ML|2.0|--|Costa Siciliana nord-orientale (Messina)
7008171|2016-08-05T14:00:10.730000|42.7823|13.3352|11.0|SURVEY-INGV||||ML|2.0|--|Ascoli Piceno
7009521|2016-08-05T20:18:17.990000|43.5638|13.7468|6.3|SURVEY-INGV||||ML|2.6|--|Costa Marchigiana Anconetana (Ancona)
7011101|2016-08-06T09:53:41.410000|38.3533|14.9108|10.0|SURVEY-INGV||||ML|2.1|--|Isole Eolie (Messina)
7011651|2016-08-06T11:29:34.230000|39.9083|16.0737|8.4|SURVEY-INGV||||ML|2.4|--|Potenza
7012981|2016-08-07T00:43:39.430000|39.8638|15.1447|318.6|SURVEY-INGV||||ML|3.0|--|Costa Cilentana (Salerno)
7013271|2016-08-07T06:14:50.910000|43.9693|11.7518|7.0|SURVEY-INGV||||ML|2.0|--|Forli'-Cesena
7013371|2016-08-07T06:44:17.670000|42.1813|13.9545|14.5|SURVEY-INGV||||ML|2.2|--|Pescara
7013881|2016-08-07T10:51:31.500000|41.3577|14.6692|10.0|SURVEY-INGV||||ML|2.0|--|Benevento
7014051|2016-08-07T12:00:36.240000|41.3582|14.6552|9.9|SURVEY-INGV||||ML|2.4|--|Benevento
